Datetime,Open,High,Low,Close,intvwap,Volume,v
03-05-2023 13:15,1684,1689.95,1683,1689.75,1687.03,911772,9909652
03-05-2023 13:30,1689.6,1692.55,1687.65,1689.5,1689.83,1048111,10957763
03-05-2023 13:45,1689.45,1689.75,1685.45,1688.25,1687.98,1044176,12001939
03-05-2023 14:00,1688.5,1689.9,1686.55,1687.8,1688.15,541033,12542972
03-05-2023 14:15,1687.85,1692,1687.05,1690.05,1689.26,222028,12765000
03-05-2023 14:30,1690,1693.55,1689.55,1690.35,1692.12,513720,13278720
03-05-2023 14:45,1690.85,1694.45,1690.2,1692.4,1692.82,308402,13587122
03-05-2023 15:00,1692.3,1694.3,1690.5,1693.75,1692.56,615735,14202857
03-05-2023 15:15,1693.8,1696,1692.15,1693,1693.8,500066,14702923
04-05-2023 09:15,1688.15,1695,1688.15,1692.95,1692.16,826912,826912
04-05-2023 09:30,1693,1694.8,1690.25,1691.5,1692.5,642059,1468971
04-05-2023 09:45,1691.8,1697.65,1691.7,1697.2,1693.45,1459379,2928350
04-05-2023 10:00,1697.05,1699.85,1695.2,1697.3,1697.49,1497775,4426125
04-05-2023 10:15,1697.05,1699.3,1695.5,1699.2,1697.13,729368,5155493
04-05-2023 10:30,1699.1,1706.9,1698.7,1706.9,1702.71,1579036,6734529
04-05-2023 10:45,1707,1708.35,1703.9,1704.6,1706.09,369384,7103913
04-05-2023 11:00,1704.9,1708.55,1704.25,1708.2,1706.94,531005,7634918
04-05-2023 11:15,1708.3,1711.05,1707,1709.1,1709.09,1147881,8782799
04-05-2023 11:30,1708.95,1712.55,1708,1711.2,1710.03,689191,9471990
04-05-2023 11:45,1711.3,1717.95,1710.3,1717.3,1713.71,1678319,11150309
04-05-2023 12:00,1717.25,1719.05,1713.1,1713.65,1715.53,2074629,13224938
04-05-2023 12:15,1713.55,1716.75,1713.35,1714.95,1715.25,563758,13788696
04-05-2023 12:30,1715,1718.95,1713.3,1718.6,1716.31,685056,14473752
04-05-2023 12:45,1718.7,1720.6,1717.25,1717.35,1719.37,868893,15342645
04-05-2023 13:00,1717.4,1722.4,1715.8,1716.3,1718.46,1213245,16555890
04-05-2023 13:15,1716.35,1719.65,1715,1719.5,1717.06,1307630,17863520
04-05-2023 13:30,1719.55,1722.6,1719.5,1722,1720.65,1428768,19292288
04-05-2023 13:45,1721.7,1723.75,1714.75,1715.4,1719.23,1514223,20806511
04-05-2023 14:00,1715.45,1717.45,1711.1,1715.2,1714.63,1226230,22032741
04-05-2023 14:15,1715.1,1717,1712.55,1714.7,1715.27,1212350,23245091
04-05-2023 14:30,1714.55,1722.7,1713.75,1720.65,1718.71,1177325,24422416
04-05-2023 14:45,1720.35,1722,1719,1721.35,1720.81,676586,25099002
04-05-2023 15:00,1721.25,1730,1720.75,1729.35,1725.58,1905045,27004047
04-05-2023 15:15,1729.9,1733.8,1727.1,1728.15,1730.77,1419538,28423585
08-05-2023 09:15,1632.6,1643.95,1630.2,1639.85,1638.62,1319122,1319122
08-05-2023 09:30,1639.35,1641.5,1636.8,1639.25,1639.13,404714,1723836
08-05-2023 09:45,1639.3,1647.75,1639.25,1646,1644.92,959553,2683389
08-05-2023 10:00,1645.95,1647.2,1642.1,1643.75,1645.32,610377,3293766
08-05-2023 10:15,1643.15,1646.7,1642.05,1645.6,1644.59,923308,4217074
08-05-2023 10:30,1645.7,1647.75,1644.05,1645.45,1645.85,1123548,5340622
08-05-2023 10:45,1645.6,1647.75,1643,1647.6,1645.61,515823,5856445
08-05-2023 11:00,1647.65,1648.8,1645.45,1647.25,1646.88,294622,6151067
08-05-2023 11:15,1647.2,1648.05,1644.65,1645.3,1646.23,487112,6638179
08-05-2023 11:30,1645.25,1647.75,1643.05,1647.35,1644.65,1154903,7793082
08-05-2023 11:45,1647.1,1648.95,1646,1647.55,1647.74,247589,8040671
08-05-2023 12:00,1647.8,1648.6,1645.55,1646.8,1647.42,877316,8917987
08-05-2023 12:15,1646.7,1646.8,1644.5,1645.05,1645.39,340103,9258090
08-05-2023 12:30,1645.55,1649.4,1644.55,1648.85,1647.45,435735,9693825
08-05-2023 12:45,1648.8,1648.9,1645.45,1646.25,1646.91,684609,10378434
08-05-2023 13:00,1646,1647.05,1644.45,1646.8,1645.43,701824,11080258
08-05-2023 13:15,1646.75,1650,1646.6,1649.6,1647.83,959982,12040240
08-05-2023 13:30,1649.5,1649.9,1645.95,1645.95,1648.07,778701,12818941
08-05-2023 13:45,1646,1648.9,1644.1,1648.65,1646.22,748914,13567855
08-05-2023 14:00,1648.7,1649.65,1646.4,1646.4,1648.06,540543,14108398
08-05-2023 14:15,1646.35,1648.1,1644.7,1646,1646.04,809085,14917483
08-05-2023 14:30,1645.95,1650,1644.9,1649.05,1647.64,1194172,16111655
08-05-2023 14:45,1649,1650.3,1648.5,1649.7,1649.59,488208,16599863
08-05-2023 15:00,1649.65,1650,1640.9,1644.5,1644.32,1516977,18116840
08-05-2023 15:15,1644.4,1649.9,1641.55,1649.9,1644.78,502667,27672
09-05-2023 09:15,1651.65,1652.3,1645.7,1649.65,1649.22,1582446,1610118
